datetime,temp,feelslike,dew,humidity,precip,precipprob,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,conditions,temp_next_day
2025-05-16 00:00:00,21.2,21.2,14.9,67.17,0.0,0,nan,0,0,11.5,3.5,340,1006.5,32.3,17.1,0,0.0,0,10,Partially cloudy,19.0
2025-05-16 01:00:00,19.9,19.9,15.0,73.69,0.0,0,nan,0,0,9.0,1.8,239,1006.2,63.5,17.1,0,0.0,0,10,Partially cloudy,18.8
2025-05-16 02:00:00,19.6,19.6,15.3,76.36,0.0,0,nan,0,0,9.0,3.6,240,1006.2,50.0,18.5,0,0.0,0,10,Partially cloudy,18.3
2025-05-16 03:00:00,19.6,19.6,15.5,77.05,0.0,0,nan,0,0,9.7,1.9,230,1006.6,96.2,17.1,0,0.0,0,10,Overcast,18.1
2025-05-16 04:00:00,19.8,19.8,15.3,75.49,0.0,0,nan,0,0,8.6,3.6,219,1006.6,0.0,17.1,0,0.0,0,10,Clear,16.8
2025-05-16 05:00:00,17.9,17.9,14.7,81.35,0.0,0,nan,0,0,8.6,0.1,4,1006.2,40.0,18.5,1,0.0,0,10,Partially cloudy,15.7
2025-05-16 06:00:00,18.1,18.1,15.8,86.57,0.0,0,nan,0,0,9.0,1.9,223,1006.0,0.0,24.5,28,0.1,0,10,Clear,15.0
2025-05-16 07:00:00,18.8,18.8,15.7,82.07,0.0,0,nan,0,0,12.6,7.6,141,1005.8,4.2,24.5,67,0.2,1,10,Clear,15.4
2025-05-16 08:00:00,20.8,20.8,16.8,77.86,0.0,0,nan,0,0,15.8,3.7,170,1005.7,33.1,25.0,324,1.2,3,10,Partially cloudy,15.2
2025-05-16 09:00:00,22.4,22.4,16.2,68.22,0.0,0,nan,0,0,18.0,5.5,160,1005.6,93.6,24.5,543,2.0,5,10,Overcast,15.3
2025-05-16 10:00:00,23.4,23.4,15.5,61.39,0.0,0,nan,0,0,19.8,5.5,140,1004.9,0.0,24.5,704,2.5,7,10,Clear,15.9
2025-05-16 11:00:00,24.9,24.9,16.2,58.65,0.0,0,nan,0,0,21.6,7.6,150,1004.4,80.0,25.0,732,2.6,7,10,Partially cloudy,16.1
2025-05-16 12:00:00,25.9,25.9,16.1,54.79,0.0,0,nan,0,0,27.7,7.6,111,1003.8,54.7,24.5,808,2.9,8,10,Partially cloudy,16.3
2025-05-16 13:00:00,26.7,27.1,14.9,48.19,0.0,0,nan,0,0,30.2,7.7,180,1003.0,0.0,24.5,664,2.4,7,10,Clear,17.2
2025-05-16 14:00:00,27.7,27.6,14.4,44.18,0.0,0,nan,0,0,31.7,5.6,156,1002.2,80.0,25.0,632,2.3,6,10,Partially cloudy,20.0
2025-05-16 15:00:00,27.0,27.1,13.7,44.01,0.0,0,nan,0,0,29.5,11.3,170,1001.6,0.0,24.5,350,1.3,4,10,Clear,19.4
2025-05-16 16:00:00,27.7,27.4,12.7,39.45,0.0,0,nan,0,0,37.7,7.7,160,1000.7,0.0,17.1,297,1.1,3,3,Clear,18.2
2025-05-16 17:00:00,20.2,20.2,18.4,89.08,4.821,100,rain,0,0,27.7,5.8,210,1003.6,100.0,7.1,27,0.1,0,10,"Rain, Overcast",18.3
2025-05-16 18:00:00,20.2,20.2,18.7,91.34,2.976,100,rain,0,0,27.0,1.9,235,1002.1,50.8,17.1,44,0.2,0,3,"Rain, Partially cloudy",18.8
